center_hz,width_hz,sample_pos,time_sec
4882.8125,2275390.5,823632,0.0823632
0.0,2265625.0,824656,0.0824656
2441.4375,2280273.5,825680,0.082568
2441.375,2270507.75,826704,0.0826704
-2441.375,2270507.75,827728,0.0827728
4882.75,2265625.0,828752,0.0828752
4882.875,2285156.25,829776,0.0829776
4882.75,2265625.0,830800,0.08308
2441.4375,2280273.5,831824,0.0831824
0.0,2265625.0,832848,0.0832848
4882.875,2285156.25,833872,0.0833872
-2441.375,2260742.25,834896,0.0834896
4882.8125,2294922.0,835920,0.083592
-4882.8125,2255859.5,836944,0.0836944
0.0,2255859.5,837968,0.0837968
-7324.25,2250976.5,838992,0.0838992
2441.375,2270507.75,871760,0.087176
0.0,2265625.0,872784,0.0872784
2441.375,2270507.75,873808,0.0873808
0.0,2275390.5,874832,0.0874832
0.0,2265625.0,875856,0.0875856
-2441.375,2270507.75,876880,0.087688
2441.375,2270507.75,877904,0.0877904
0.0,2275390.5,878928,0.0878928
0.0,2265625.0,879952,0.0879952
-2441.4375,2280273.5,880976,0.0880976
2441.375,2260742.25,882000,0.0882
7324.1875,2260742.0,884048,0.0884048
19531.25,2294922.0,891216,0.0891216
7324.1875,2270508.0,893264,0.0893264
7324.1875,2270508.0,895312,0.0895312
9765.625,2275390.75,897360,0.089736
