center_hz,width_hz,sample_pos,level_db,time_sec
0.0,8076172.0,0,-93.99850463867188,0.0
2441.375,8061523.0,1024,-94.7530288696289,0.0001024
0.0,8076172.0,2048,-94.74536895751953,0.0002048
0.0,8066406.0,3072,-94.69841766357422,0.0003072
7324.25,8081054.5,4096,-94.7416000366211,0.0004096
2441.5,8071289.0,5120,-94.67342376708984,0.000512
7324.25,8081054.5,6144,-94.75775909423828,0.0006144
-9765.5,8046875.0,7168,-94.6146240234375,0.0007168
4882.875,8076172.0,8192,-94.69879913330078,0.0008192
-3908691.5,63476.75,9216,-95.25247192382812,0.0009216
-3669433.5,336914.0,9216,-94.04352569580078,0.0009216
-385742.25,6181640.5,9216,-82.00250244140625,0.0009216
3256836.0,1025390.75,9216,-94.06376647949219,0.0009216
3815918.0,53711.0,9216,-94.94229125976562,0.0009216
3906250.0,48828.0,9216,-95.2516098022461,0.0009216
7324.25,8071289.0,10240,-94.73883819580078,0.001024
-3908691.5,53711.0,11264,-95.4404296875,0.0011264
-31738.25,7592773.5,11264,-84.20355987548828,0.0011264
3811035.25,63476.5,11264,-94.79427337646484,0.0011264
3894043.0,53711.0,11264,-95.0529556274414,0.0011264
7324.25,8071289.0,12288,-94.7436294555664,0.0012288
-3925781.25,29297.0,13312,-95.25638580322266,0.0013312
-412597.625,6831055.0,13312,-83.12326049804688,0.0013312
3430175.75,805664.0,13312,-93.6310043334961,0.0013312
3896484.5,68359.25,13312,-94.58174133300781,0.0013312
-2441.375,8061523.0,14336,-94.6795883178711,0.0014336
-3901367.25,87890.5,15360,-95.46923828125,0.001536
-7324.25,7670898.5,15360,-84.29206848144531,0.001536
3889160.25,63476.5,15360,-94.534912109375,0.001536
-2441.375,8061523.0,16384,-94.73436737060547,0.0016384
-3737793.0,200195.25,17408,-94.11720275878906,0.0017408
-3544921.75,117187.5,17408,-94.2471694946289,0.0017408
-3271484.5,361328.25,17408,-93.40594482421875,0.0017408
441894.625,6997070.0,17408,-80.55834197998047,0.0017408
-2441.375,8061523.0,18432,-94.5843276977539,0.0018432
-3681640.5,361328.25,19456,-94.0302963256836,0.0019456
-3286133.0,361328.25,19456,-93.53972625732422,0.0019456
295410.125,6713867.0,19456,-80.02444458007812,0.0019456
3808593.75,283203.0,19456,-93.97348022460938,0.0019456
0.0,8056640.5,20480,-94.54779052734375,0.002048
-3754882.75,224609.5,21504,-93.97095489501953,0.0021504
163574.25,7553711.0,21504,-81.60659790039062,0.0021504
2441.375,8061523.0,22528,-94.57069396972656,0.0022528
-529785.125,6752930.0,23552,-80.20828247070312,0.0023552
3256836.0,771484.25,23552,-93.4503173828125,0.0023552
3815918.0,268554.75,23552,-93.68168640136719,0.0023552
4882.875,8066406.0,24576,-94.47151947021484,0.0024576
-2441.375,8041992.0,25600,-94.54830932617188,0.00256
9765.625,8076172.0,26624,-94.6251449584961,0.0026624
4882.75,8037109.5,27648,-94.52165222167969,0.0027648
4882.875,8076172.0,28672,-94.65969848632812,0.0028672
7324.25,8032226.5,29696,-94.49177551269531,0.0029696
7324.25,8081054.5,30720,-94.66838836669922,0.003072
0.0,8037109.5,31744,-94.5490951538086,0.0031744
4882.75,8056640.5,32768,-91.07435607910156,0.0032768
-3920898.5,39062.5,33792,-93.23031616210938,0.0033792
-3850097.5,73242.25,33792,-92.93640899658203,0.0033792
-3784179.5,29296.75,33792,-93.3956527709961,0.0033792
-3730468.75,19531.5,33792,-93.3985824584961,0.0033792
-3583984.5,146484.25,33792,-92.85482025146484,0.0033792
-3405761.75,141601.5,33792,-92.19580841064453,0.0033792
-3188476.5,263672.0,33792,-92.410888671875,0.0033792
-112304.625,5800781.0,33792,-75.15473175048828,0.0033792
