center_hz,width_hz,sample_pos,level_db,time_sec
0.0,2244140.5,498000,-77.60694885253906,0.166
-732.4375,2248535.0,499024,-78.94461822509766,0.16634133333333334
-732.4375,2245605.5,500048,-78.50658416748047,0.16668266666666667
-1464.875,2252929.75,501072,-78.8041763305664,0.167024
-732.4375,2245605.5,502096,-78.57962036132812,0.16736533333333334
-1464.875,2250000.0,503120,-78.82979583740234,0.16770666666666667
-732.4375,2245605.5,504144,-77.61878967285156,0.168048
-1464.875,2247070.25,505168,-77.79264068603516,0.16838933333333334
-732.4375,2245605.5,506192,-76.09944915771484,0.16873066666666667
-1464.875,2247070.25,507216,-75.98041534423828,0.169072
-732.4375,2245605.5,508240,-76.68042755126953,0.16941333333333333
-732.4375,2245605.5,509264,-76.11705780029297,0.16975466666666666
-1464.875,2247070.25,510288,-75.9128189086914,0.170096
-732.4375,2245605.5,511312,-77.06779479980469,0.17043733333333333
-1464.875,2247070.25,512336,-76.09697723388672,0.17077866666666666
-732.4375,2245605.5,513360,-75.97567749023438,0.17112
-732.4375,2245605.5,514384,-77.18046569824219,0.17146133333333333
0.0,2244140.5,515408,-76.01414489746094,0.17180266666666666
-732.4375,2245605.5,516432,-75.97802734375,0.172144
0.0,2244140.5,517456,-77.20475006103516,0.17248533333333332
-732.375,2242675.75,518480,-76.05058288574219,0.17282666666666666
-732.375,2242675.75,519504,-75.90882110595703,0.173168
0.0,2244140.5,520528,-77.25,0.17350933333333332
-732.375,2242675.75,521552,-76.01741790771484,0.17385066666666665
-732.375,2242675.75,522576,-75.88912963867188,0.174192
0.0,2244140.5,523600,-77.2770004272461,0.17453333333333335
0.0,2244140.5,524624,-75.90523529052734,0.17487466666666668
-732.375,2242675.75,525648,-75.96336364746094,0.175216
0.0,2244140.5,526672,-77.06336975097656,0.17555733333333334
0.0,2247070.25,527696,-75.98343658447266,0.17589866666666668
-732.375,2242675.75,528720,-75.88320922851562,0.17624
