center_hz,width_hz,sample_pos,level_db,time_sec
7324.25,8032226.5,498000,-75.99952697753906,0.0498
9765.625,8027344.0,499024,-76.54624938964844,0.0499024
-2441.375,8032227.0,500048,-76.99385070800781,0.0500048
4882.75,8037109.5,501072,-77.58788299560547,0.0501072
0.0,8037109.5,502096,-78.59419250488281,0.0502096
2441.375,8041992.0,503120,-80.03233337402344,0.050312
-2441.375,8032227.0,504144,-78.25288391113281,0.0504144
2441.375,8032227.0,505168,-80.37539672851562,0.0505168
-4882.875,8027344.0,506192,-77.3232192993164,0.0506192
0.0,8027344.0,507216,-77.63784790039062,0.0507216
0.0,8017578.0,508240,-75.98407745361328,0.050824
0.0,8037109.5,509264,-76.43821716308594,0.0509264
-4882.75,8007812.5,510288,-75.03311920166016,0.0510288
4882.75,8037109.5,511312,-76.4051742553711,0.0511312
4882.875,8017578.0,512336,-76.66813659667969,0.0512336
2441.375,8041992.0,513360,-77.4501724243164,0.051336
2441.375,8032227.0,514384,-77.8675308227539,0.0514384
4882.75,8046875.0,515408,-79.57672119140625,0.0515408
7324.25,7983398.5,516432,-79.10911560058594,0.0516432
17089.875,7934570.0,517456,-82.47669982910156,0.0517456
4882.875,7988281.0,518480,-85.42524719238281,0.051848
2441.5,7915039.0,519504,-84.88066101074219,0.0519504
2441.375,7983398.0,520528,-85.44425964355469,0.0520528
-7324.25,7875976.5,521552,-80.04476928710938,0.0521552
4882.75,7978515.5,522576,-79.154296875,0.0522576
-17089.875,7885742.0,523600,-77.0100326538086,0.05236
-2441.375,8041992.0,524624,-78.01029205322266,0.0524624
2441.375,8032227.0,525648,-76.21162414550781,0.0525648
-2441.375,8041992.0,526672,-76.74128723144531,0.0526672
-2441.375,8032227.0,527696,-75.2323989868164,0.0527696
-4882.75,8037109.5,528720,-75.90045166015625,0.052872
-7324.125,8041992.0,529744,-76.5622787475586,0.0529744
-7324.25,8032226.5,530768,-76.7629165649414,0.0530768
-4882.75,8046875.0,531792,-77.7068099975586,0.0531792
-4882.75,8037109.5,532816,-78.130859375,0.0532816
0.0,8046875.0,533840,-80.5963363647461,0.053384
-2441.375,8032227.0,534864,-78.28817749023438,0.0534864
4882.75,8056640.5,535888,-80.61361694335938,0.0535888
9765.625,8027344.0,536912,-77.53267669677734,0.0536912
7324.125,8041992.0,537936,-77.87310028076172,0.0537936
12207.0,8022461.0,538960,-76.1202621459961,0.053896
12207.0,8032226.5,539984,-76.60205841064453,0.0539984
7324.25,8022461.0,541008,-75.19255065917969,0.0541008
7324.25,8032226.5,542032,-76.3471908569336,0.0542032
12207.0,8032226.5,543056,-76.64799499511719,0.0543056
0.0,8027344.0,544080,-77.3606948852539,0.054408
12207.0,8022461.0,545104,-77.71066284179688,0.0545104
2441.375,8032227.0,546128,-79.20590209960938,0.0546128
9765.625,8027344.0,547152,-79.43492889404297,0.0547152
4882.75,8037109.5,548176,-79.24862670898438,0.0548176
19531.25,8027343.5,549200,-79.55567932128906,0.05492
12207.0,8041992.0,550224,-77.52919006347656,0.0550224
17089.875,8022461.0,551248,-77.20368957519531,0.0551248
12207.0,8022461.0,552272,-76.2537841796875,0.0552272
7324.25,8032226.5,553296,-75.99560546875,0.0553296
7324.125,8041992.0,554320,-75.5029525756836,0.055432
7324.25,8032226.5,555344,-76.43107604980469,0.0555344
4882.75,8056640.5,556368,-76.78260040283203,0.0556368
-4882.75,8037109.5,557392,-77.52952575683594,0.0557392
4882.75,8056640.5,558416,-77.99221801757812,0.0558416
-4882.75,8046875.0,559440,-80.11528778076172,0.055944
9765.5,8046875.0,560464,-78.46825408935547,0.0560464
0.0,8046875.0,561488,-80.51962280273438,0.0561488
14648.375,8037109.0,562512,-78.55747985839844,0.0562512
0.0,8046875.0,563536,-77.98511505126953,0.0563536
7324.25,8022461.0,564560,-76.6021957397461,0.056456
0.0,8056640.5,565584,-76.79915618896484,0.0565584
4882.875,8017578.0,566608,-75.4351806640625,0.0566608
2441.375,8041992.0,567632,-75.73712921142578,0.0567632
-2441.375,8032227.0,568656,-76.4249267578125,0.0568656
2441.375,8041992.0,569680,-76.58809661865234,0.056968
-12207.0,8041992.0,570704,-77.50585174560547,0.0570704
0.0,8037109.5,571728,-77.82878112792969,0.0571728
-9765.5,8046875.0,572752,-80.35272216796875,0.0572752
2441.5,8022461.0,573776,-78.11296844482422,0.0573776
-7324.25,8061523.5,574800,-80.66149139404297,0.05748
-2441.375,8032227.0,575824,-77.575927734375,0.0575824
-4882.75,8056640.5,576848,-78.1007080078125,0.0576848
-9765.625,8017578.0,577872,-76.0144271850586,0.0577872
7324.25,8032226.5,578896,-76.81382751464844,0.0578896
-7324.25,8012695.5,579920,-75.09295654296875,0.057992
4882.75,8037109.5,580944,-76.5226058959961,0.0580944
-12207.0,8022461.0,581968,-76.600830078125,0.0581968
9765.625,8027344.0,582992,-77.49504089355469,0.0582992
-7324.25,8022461.0,584016,-77.79035186767578,0.0584016
0.0,8037109.5,585040,-79.1716079711914,0.058504
-7324.25,8022461.0,586064,-79.84105682373047,0.0586064
0.0,8037109.5,587088,-79.16975402832031,0.0587088
-14648.375,8027344.0,588112,-79.97156524658203,0.0588112
-4882.875,8027344.0,589136,-77.47036743164062,0.0589136
-12207.0,7983398.5,590160,-77.31786346435547,0.059016
-2441.375,7905273.0,591184,-76.1783676147461,0.0591184
-9765.625,7988281.0,592208,-76.10980224609375,0.0592208
2441.375,7905273.0,593232,-75.21138000488281,0.0593232
0.0,7968750.0,594256,-75.44357299804688,0.0594256
-29296.75,7851562.5,595280,-75.04492950439453,0.059528
3933105.5,43945.25,595280,-96.95004272460938,0.059528
2441.375,7983398.0,596304,-75.38836669921875,0.0596304
-31738.25,7827148.5,597328,-74.97875213623047,0.0597328
3940429.5,58593.75,597328,-96.52978515625,0.0597328
7324.25,8032226.5,598352,-75.63887786865234,0.0598352
2441.5,8022461.0,599376,-76.63816833496094,0.0599376
4882.875,8027344.0,600400,-76.59209442138672,0.06004
-2441.375,8041992.0,601424,-77.7837142944336,0.0601424
7324.25,8032226.5,602448,-77.73848724365234,0.0602448
2441.375,8032227.0,603472,-80.42362976074219,0.0603472
4882.875,8017578.0,604496,-78.02542877197266,0.0604496
2441.375,8032227.0,605520,-80.51660919189453,0.060552
4882.75,7929687.5,606544,-77.50574493408203,0.0606544
-2441.375,7905273.0,607568,-79.28190612792969,0.0607568
0.0,7910156.0,608592,-77.37098693847656,0.0608592
-383300.75,7075195.5,609616,-74.7640380859375,0.0609616
3562011.75,756836.0,609616,-93.97325897216797,0.0609616
0.0,7919922.0,610640,-75.98760986328125,0.061064
-3725586.0,380859.25,611664,-94.56855773925781,0.0611664
214843.75,7431640.5,611664,-74.31269836425781,0.0611664
-12207.0,7944336.0,612688,-76.07113647460938,0.0612688
43945.25,7822265.5,613712,-75.28641510009766,0.0613712
0.0,8027344.0,614736,-76.31477355957031,0.0614736
-7324.125,8041992.0,615760,-75.26337432861328,0.061576
4882.875,8027344.0,616784,-76.32109832763672,0.0616784
-9765.625,8056641.0,617808,-76.75190734863281,0.0617808
0.0,8037109.5,618832,-77.51224517822266,0.0618832
-2441.375,8061523.0,619856,-77.90171813964844,0.0619856
0.0,8037109.5,620880,-79.99882507324219,0.062088
-2441.375,8041992.0,621904,-78.97640228271484,0.0621904
14648.375,7958984.0,622928,-79.58576202392578,0.0622928
-21972.625,7866211.0,623952,-81.79399108886719,0.0623952
14648.5,7939453.0,624976,-80.10240936279297,0.0624976
2441.375,7885742.0,626000,-81.82295227050781,0.0626
14648.375,7949219.0,627024,-77.80208587646484,0.0627024
-3840332.0,200195.25,628048,-95.2306900024414,0.0628048
112304.625,7626953.0,628048,-77.57566833496094,0.0628048
14648.375,7958984.0,629072,-76.12407684326172,0.0629072
2441.375,7905273.0,630096,-77.12036895751953,0.0630096
12207.125,8012695.0,631120,-76.28162384033203,0.063112
-7324.125,8051758.0,632144,-76.82408142089844,0.0632144
7324.25,8022461.0,633168,-75.25865936279297,0.0633168
0.0,8037109.5,634192,-76.11430358886719,0.0634192
4882.75,8037109.5,635216,-76.6742172241211,0.0635216
2441.375,8032227.0,636240,-77.04122924804688,0.063624
